id,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
0,15616088.0,Flemming,656.0,Germany,Female,54.0,4.0,91286.51,1.0,1.0,0.0,149550.95,1.0
1,15616709.0,Ch'eng,715.0,France,Female,33.0,1.0,95377.13,1.0,1.0,0.0,147955.81,0.0
2,15763029.0,Nkemdirim,602.0,Germany,Male,52.0,9.0,146034.74,1.0,0.0,0.0,120158.72,1.0
3,15769216.0,Chidozie,567.0,Spain,Male,29.0,4.0,0.0,2.0,0.0,0.0,95686.4,0.0
4,15773949.0,Tsao,538.0,France,Female,32.0,9.0,121355.99,1.0,1.0,0.0,93783.0,0.0
5,15728505.0,Nnamdi,749.0,Germany,Female,39.0,1.0,115023.68,2.0,1.0,1.0,143086.09,0.0
6,15642716.0,Hsiung,738.0,Germany,Male,35.0,9.0,116967.68,2.0,1.0,0.0,47777.15,0.0
7,15656471.0,P'eng,589.0,France,Female,72.0,7.0,0.0,2.0,0.0,1.0,187811.71,0.0
8,15630167.0,H?,599.0,France,Male,48.0,4.0,0.0,2.0,1.0,0.0,52367.29,1.0
9,15813741.0,Trevisani,584.0,Germany,Male,39.0,2.0,100375.39,1.0,1.0,1.0,70810.8,0.0
10,15725997.0,Toscani,607.0,France,Male,37.0,3.0,0.0,2.0,1.0,0.0,55724.24,0.0
11,15675501.0,Chukwubuikem,749.0,Germany,Female,36.0,0.0,89039.9,2.0,1.0,0.0,72462.25,0.0
12,15690743.0,Nwankwo,581.0,France,Female,31.0,5.0,154525.7,1.0,1.0,1.0,75578.67,0.0
13,15647838.0,Y?an,663.0,France,Male,33.0,3.0,0.0,2.0,1.0,1.0,55313.44,0.0
14,15791942.0,Mancini,544.0,Spain,Male,30.0,8.0,0.0,2.0,1.0,0.0,92223.59,0.0
15,15716608.0,Ch'eng,644.0,France,Male,47.0,8.0,0.0,2.0,1.0,1.0,180622.05,0.0
16,15721592.0,Smith,697.0,Spain,Female,51.0,7.0,0.0,1.0,1.0,0.0,99504.03,1.0
17,15707559.0,Aitken,629.0,France,Male,38.0,2.0,0.0,2.0,1.0,1.0,123872.0,0.0
